日付,始値,高値,安値,終値,出来高,調整後終値
2022/10/5,168600,168700,165600,167000,4409,167000
2022/10/4,165200,169200,164700,168700,7459,168700
2022/10/3,164700,165500,161500,163600,8270,163600
2022/9/30,160500,165400,159100,164100,9834,164100
2022/9/29,163600,165500,161300,162000,6865,162000
2022/9/28,164400,165900,161700,162800,9429,162800
2022/9/27,169900,170200,163300,163500,12691,163500
2022/9/26,172000,172000,168000,168700,6006,168700
2022/9/22,172300,172800,169700,172000,5471,172000
2022/9/21,173100,174500,172700,173600,6046,173600
2022/9/20,177300,177300,172400,173000,7343,173000
2022/9/16,176200,177600,173900,177200,9720,177200
2022/9/15,183500,183500,176800,177200,5636,177200
2022/9/14,185500,185600,182500,182900,3789,182900
2022/9/13,187100,187100,184800,185800,4005,185800
2022/9/12,186700,186900,185600,186600,4644,186600
2022/9/9,184400,186800,184200,186300,6263,186300
2022/9/8,183400,184800,183300,184400,4638,184400
2022/9/7,182600,184100,182200,183500,3553,183500
2022/9/6,185000,185000,182600,182700,3798,182700
2022/9/5,181700,185700,181700,185000,5629,185000
2022/9/2,182500,182800,181700,181700,4993,181700
2022/9/1,182800,182800,180200,181800,7777,181800
2022/8/31,184700,185000,182100,183800,10668,183800
2022/8/30,181100,185000,180900,185000,4766,185000
2022/8/29,182000,182700,180100,182400,6137,182400
2022/8/26,181900,183300,180900,183100,3939,183100
2022/8/25,180400,181800,180300,181300,4420,181300
2022/8/24,181300,182400,179200,180000,5208,180000
2022/8/23,183300,183300,181200,182100,4519,182100
2022/8/22,182500,183500,181800,183000,4688,183000
2022/8/19,183400,184200,182400,183700,4729,183700
2022/8/18,184500,184500,181700,182800,2916,182800
2022/8/17,184400,185400,183200,184100,3661,184100
2022/8/16,182300,184800,181800,184800,3801,184800
2022/8/15,180500,182100,179600,182100,4715,182100
2022/8/12,181200,181400,179300,180000,4519,180000
2022/8/10,181600,182200,180300,180400,3765,180400
2022/8/9,180800,182400,180300,181200,5092,181200
2022/8/8,183300,183700,180100,181200,3353,181200
2022/8/5,182000,184200,180700,183700,5149,183700
2022/8/4,182200,183000,180900,182000,4282,182000
2022/8/3,184700,185600,179800,180900,5515,180900
2022/8/2,186800,187400,178000,184300,8347,184300
2022/8/1,186400,187300,185500,186600,8508,186600
2022/7/29,182100,187200,182100,185100,15743,185100
2022/7/28,183000,184000,180600,181700,27809,181700
2022/7/27,184400,188900,184400,186100,12300,186100
2022/7/26,187100,187100,184100,184900,7857,184900
2022/7/25,186000,187100,185600,186100,6227,186100
2022/7/22,186500,187300,184500,185400,5002,185400
2022/7/21,184500,186700,183500,186500,6571,186500
